datetime,ciudad,dominio,temperatura,precipitacion,precipitacion_acumulada,radiacion_solar,agua_precipitable,vel_viento10m,dir_viento10m,humedad_relativa
2021-07-02 23:00:00,Hermosillo,d01,31,0.0,0.0,0,60.3,4,230,50
2021-07-03 00:00:00,Hermosillo,d01,30,0.0,0.0,0,59.7,6,232,47
2021-07-03 01:00:00,Hermosillo,d01,30,0.0,0.0,0,60.0,8,226,47
2021-07-03 02:00:00,Hermosillo,d01,30,0.0,0.0,0,58.9,8,187,47
2021-07-03 03:00:00,Hermosillo,d01,27,0.5,0.5,0,65.0,4,182,66
2021-07-03 04:00:00,Hermosillo,d01,27,4.5,5.0,0,58.6,4,263,70
2021-07-03 05:00:00,Hermosillo,d01,26,0.8,5.8,0,53.4,2,245,68
2021-07-03 06:00:00,Hermosillo,d01,26,0.0,5.8,40,52.3,7,97,74
2021-07-03 07:00:00,Hermosillo,d01,27,0.0,5.8,258,57.4,13,95,73
2021-07-03 08:00:00,Hermosillo,d01,27,0.0,5.8,127,59.9,18,71,69
2021-07-03 09:00:00,Hermosillo,d01,28,0.0,5.8,607,56.9,17,79,66
2021-07-03 10:00:00,Hermosillo,d01,28,0.0,5.8,243,57.4,16,65,65
2021-07-03 11:00:00,Hermosillo,d01,30,0.0,5.8,704,56.7,12,60,58
2021-07-03 12:00:00,Hermosillo,d01,30,0.0,5.8,473,57.3,14,40,57
2021-07-03 13:00:00,Hermosillo,d01,29,0.0,5.8,372,61.0,18,35,63
2021-07-03 14:00:00,Hermosillo,d01,31,0.1,5.9,962,56.1,10,43,57
2021-07-03 15:00:00,Hermosillo,d01,33,0.0,5.9,857,56.7,6,2,45
2021-07-03 16:00:00,Hermosillo,d01,35,0.0,5.9,687,55.7,9,301,40
2021-07-03 17:00:00,Hermosillo,d01,35,0.0,5.9,482,56.6,9,293,39
2021-07-03 18:00:00,Hermosillo,d01,35,0.0,5.9,261,56.5,8,291,38
2021-07-03 19:00:00,Hermosillo,d01,32,0.0,5.9,52,61.5,22,309,47
2021-07-03 20:00:00,Hermosillo,d01,28,13.2,19.1,0,62.5,3,339,70
2021-07-03 21:00:00,Hermosillo,d01,28,0.3,19.4,0,56.1,6,7,57
2021-07-03 22:00:00,Hermosillo,d01,28,0.0,19.4,0,57.0,7,83,56
2021-07-03 23:00:00,Hermosillo,d01,28,0.0,19.4,0,58.5,8,68,65
2021-07-04 00:00:00,Hermosillo,d01,28,0.0,19.4,0,58.6,6,75,66
2021-07-04 01:00:00,Hermosillo,d01,27,0.0,19.4,0,58.3,4,77,65
2021-07-04 02:00:00,Hermosillo,d01,27,0.0,19.4,0,58.6,4,88,68
2021-07-04 03:00:00,Hermosillo,d01,27,0.0,19.4,0,59.8,3,110,70
2021-07-04 04:00:00,Hermosillo,d01,27,0.0,19.4,0,60.3,3,107,72
2021-07-04 05:00:00,Hermosillo,d01,27,0.0,19.4,0,59.7,3,120,74
2021-07-04 06:00:00,Hermosillo,d01,27,0.0,19.4,27,59.1,5,129,72
2021-07-04 07:00:00,Hermosillo,d01,28,0.0,19.4,258,58.0,7,138,63
2021-07-04 08:00:00,Hermosillo,d01,30,0.0,19.4,477,58.8,8,143,58
2021-07-04 09:00:00,Hermosillo,d01,31,0.0,19.4,683,59.6,7,183,54
2021-07-04 10:00:00,Hermosillo,d01,32,0.0,19.4,850,59.2,7,202,49
2021-07-04 11:00:00,Hermosillo,d01,34,0.0,19.4,974,56.2,10,238,42
2021-07-04 12:00:00,Hermosillo,d01,35,0.0,19.4,1034,57.1,8,249,39
2021-07-04 13:00:00,Hermosillo,d01,36,0.0,19.4,1032,55.8,11,244,35
2021-07-04 14:00:00,Hermosillo,d01,35,0.0,19.4,448,58.9,20,215,44
2021-07-04 15:00:00,Hermosillo,d01,35,0.0,19.4,772,58.2,11,208,42
2021-07-04 16:00:00,Hermosillo,d01,35,0.4,19.8,147,56.8,15,227,37
2021-07-04 17:00:00,Hermosillo,d01,35,0.0,19.8,453,54.0,16,242,36
2021-07-04 18:00:00,Hermosillo,d01,35,0.0,19.8,169,53.1,14,245,35
2021-07-04 19:00:00,Hermosillo,d01,34,0.0,19.8,38,52.3,9,250,33
2021-07-04 20:00:00,Hermosillo,d01,33,0.0,19.8,0,52.7,8,240,37
2021-07-04 21:00:00,Hermosillo,d01,31,0.0,19.8,0,55.8,11,50,54
2021-07-04 22:00:00,Hermosillo,d01,30,0.0,19.8,0,56.9,12,68,59
2021-07-04 23:00:00,Hermosillo,d01,29,0.0,19.8,0,56.0,10,73,60
2021-07-05 00:00:00,Hermosillo,d01,29,0.0,19.8,0,55.4,1,251,61
2021-07-05 01:00:00,Hermosillo,d01,28,0.0,19.8,0,55.0,9,235,66
2021-07-05 02:00:00,Hermosillo,d01,27,0.0,19.8,0,54.3,7,241,72
2021-07-05 03:00:00,Hermosillo,d01,27,0.0,19.8,0,52.6,4,212,75
2021-07-05 04:00:00,Hermosillo,d01,27,0.0,19.8,0,50.2,2,136,75
2021-07-05 05:00:00,Hermosillo,d01,26,0.0,19.8,0,48.8,4,113,76
2021-07-05 06:00:00,Hermosillo,d01,26,0.0,19.8,73,47.2,8,133,81
2021-07-05 07:00:00,Hermosillo,d01,28,0.0,19.8,250,45.8,7,135,73
2021-07-05 08:00:00,Hermosillo,d01,29,0.0,19.8,474,45.3,8,144,61
2021-07-05 09:00:00,Hermosillo,d01,31,0.0,19.8,682,45.0,7,155,52
2021-07-05 10:00:00,Hermosillo,d01,33,0.0,19.8,855,44.0,7,179,45
2021-07-05 11:00:00,Hermosillo,d01,34,0.0,19.8,981,41.9,7,208,39
2021-07-05 12:00:00,Hermosillo,d01,36,0.0,19.8,1048,38.9,8,231,34
2021-07-05 13:00:00,Hermosillo,d01,37,0.0,19.8,1047,38.8,9,237,30
2021-07-05 14:00:00,Hermosillo,d01,38,0.0,19.8,982,39.8,11,251,29
2021-07-05 15:00:00,Hermosillo,d01,38,0.0,19.8,855,41.4,13,248,29
2021-07-05 16:00:00,Hermosillo,d01,38,0.0,19.8,678,40.5,16,250,28
2021-07-05 17:00:00,Hermosillo,d01,37,0.0,19.8,474,39.0,17,249,27
2021-07-05 18:00:00,Hermosillo,d01,36,0.0,19.8,250,36.0,16,247,25
